"Timestamp","  What is your gender?  ","  What is your highest educational qualification?  ","How many years of total work experience do you have?","  What best describes your current role?  ","  How many people work in your organization approximately?  ","  On average, how many hours do you work per week?  ","  How many formal training or professional development sessions did you attend in the last 12 months?  ","  How would you rate your overall job satisfaction?  ","  How would you rate your work-life balance?  ","  How would you rate your own job performance over the last 12 months?  ","  How supported do you feel by your direct supervisor or manager?  ","  How fairly do you feel you are compensated relative to your workload?  ","  Are you currently considering leaving your organization within the next 12 months?  ","  What is the PRIMARY reason you would consider leaving?   ","  Would you recommend your organization as a good place to work?  ","  How many years have you worked at your current organization?  "
"2026/04/28 1:56:38 PM GMT+1","Female","Master's degree","6–10 years","Administrative/support staff","1–20","Less than 35","1–2","9","7","6","10","7","Yes, actively looking","Better opportunity elsewhere","Definitely yes","1–3 years"
"2026/04/28 2:12:07 PM GMT+1","Female","Master's degree","6–10 years","Other","More than 250","41–50","More than 10","7","5","8","8","6","No, I intend to stay","Compensation/salary","Probably yes","Less than 1 year"
"2026/04/28 2:26:21 PM GMT+1","Male","Bachelor's degree","Less than 2 years","Finance/accounts","1–20","41–50","None","4","5","5","1","2","Unsure","Relationship with management","Probably not","Less than 1 year"
"2026/04/28 2:29:57 PM GMT+1","Male","Bachelor's degree","6–10 years","Management/leadership","1–20","41–50","1–2","7","6","10","6","3","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/04/28 2:40:01 PM GMT+1","Female","Bachelor's degree","2–5 years","IT/technology","1–20","35–40","1–2","10","10","10","10","7","No, I intend to stay","I am not considering leaving","Probably yes","1–3 years"
"2026/04/28 2:45:21 PM GMT+1","Female","Bachelor's degree","Less than 2 years","Administrative/support staff","51–100","35–40","1–2","4","7","8","3","7","Yes, but not actively looking","Lack of career growth","Probably yes","Less than 1 year"
"2026/04/28 3:49:16 PM GMT+1","Male","Bachelor's degree","2–5 years","IT/technology","21–50","51–60","1–2","5","5","6","9","5","Yes, actively looking","Compensation/salary","Probably yes","4–7 years"
"2026/04/28 3:54:53 PM GMT+1","Female","Bachelor's degree","6–10 years","Other","More than 250","35–40","3–5","3","4","7","3","1","Yes, actively looking","Lack of career growth","Definitely yes","1–3 years"
"2026/04/28 4:23:00 PM GMT+1","Male","Bachelor's degree","2–5 years","IT/technology","More than 250","41–50","3–5","4","4","8","8","4","Yes, actively looking","Compensation/salary","Probably not","1–3 years"
"2026/04/28 4:24:56 PM GMT+1","Female","Master's degree","More than 15 years","Management/leadership","21–50","41–50","1–2","6","8","7","8","6","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/04/28 8:45:18 PM GMT+1","Male","Bachelor's degree","6–10 years","Administrative/support staff","101–250","41–50","1–2","5","3","7","5","3","Yes, actively looking","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/04/28 9:44:12 PM GMT+1","Female","OND/HND","6–10 years","IT/technology","More than 250","41–50","3–5","8","5","7","8","5","Yes, actively looking","Poor work-life balance","Probably not","4–7 years"
"2026/04/29 4:12:26 AM GMT+1","Female","Bachelor's degree","6–10 years","Finance/accounts","101–250","35–40","More than 10","4","3","6","7","6","Yes, actively looking","Poor work-life balance","Probably yes","4–7 years"
"2026/04/29 4:16:28 AM GMT+1","Male","Master's degree","6–10 years","IT/technology","More than 250","41–50","3–5","10","10","7","9","5","Yes, but not actively looking","Compensation/salary","Definitely yes","4–7 years"
"2026/04/29 10:28:35 PM GMT+1","Male","Bachelor's degree","6–10 years","Management/leadership","21–50","35–40","3–5","7","7","6","7","8","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","Less than 1 year"
"2026/04/30 10:03:31 AM GMT+1","Male","Bachelor's degree","Less than 2 years","Legal/professional (lawyer, consultant, advisor)","1–20","35–40","6–10","4","5","5","8","3","Unsure","Compensation/salary","Definitely yes","Less than 1 year"
"2026/04/30 11:22:09 AM GMT+1","Female","Bachelor's degree","6–10 years","Legal/professional (lawyer, consultant, advisor)","More than 250","35–40","1–2","4","5","6","4","1","Yes, actively looking","Better opportunity elsewhere","Not sure","Less than 1 year"
"2026/04/30 11:58:58 AM GMT+1","Female","Master's degree","6–10 years","IT/technology","21–50","35–40","1–2","7","7","10","6","5","Yes, actively looking","Lack of career growth","Not sure","Less than 1 year"
"2026/04/30 12:48:27 PM GMT+1","Female","Master's degree","6–10 years","Finance/accounts","101–250","35–40","1–2","6","4","7","5","8","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/04/30 1:00:16 PM GMT+1","Male","Master's degree","6–10 years","Finance/accounts","1–20","41–50","6–10","10","10","","10","10","Yes, actively looking","Better opportunity elsewhere","Definitely yes","1–3 years"
"2026/05/05 3:37:28 PM GMT+1","Female","Bachelor's degree","Less than 2 years","Legal/professional (lawyer, consultant, advisor)","1–20","Less than 35","1–2","5","8","7","5","7","Yes, but not actively looking","Compensation/salary","Definitely yes","1–3 years"
"2026/05/05 3:39:32 PM GMT+1","Male","OND/HND","2–5 years","Administrative/support staff","21–50","35–40","1–2","9","7","5","9","8","Unsure","I am not considering leaving","Probably yes","Less than 1 year"
